genres,cluster
classical bass,124
classical cello,61
classical clarinet,141
classical contralto,7
classical countertenor,55
classical era,7
classical flute,27
classical guitar,120
classical harp,120
classical horn,120
classical mandolin,131
classical mezzo-soprano,68
classical oboe,61
classical organ,27
classical performance,68
classical piano,120
classical piano duo,110
classical piano trio,137
classical saxophone,31
classical soprano,74
classical tenor,74
classical trumpet,15
classify,131
clawhammer banjo,119
clean comedy,5
cleveland metal,3
coco,8
collage pop,70
college a cappella,64
colombian hip hop,0
colombian pop,17
colombian rock,83
columbus ohio indie,140
comedy,5
comedy rap,4
comedy rock,18
comic,30
comic metal,144
commons,48
complextro,9
compositional ambient,141
concepcion indie,85
concert band,121
connecticut hardcore,3
connecticut indie,93
conscious hip hop,33
contemporary choir,47
contemporary classical,61
contemporary classical piano,137
contemporary country,93
contemporary folk,133
contemporary gospel,127
contemporary jazz,27
contemporary post-bop,13
contemporary vocal jazz,2
contrabass,141
cool jazz,13
copla,133
cornish folk,52
cornwall indie,115
corrido,19
corridos cristianos,62
corridos tumbados,43
corrosion,77
cosmic american,26
cosmic post-rock,71
country,46
country blues,133
country boogie,53
country dawn,46
country gospel,133
country pop,93
country rap,51
country road,93
country rock,46
coverchill,42
cowboy western,82
cowpunk,39
crack rock steady,140
croatian folk,74
croatian pop,46
croatian rock,46
crossover thrash,32
crunk,33
crust punk,3
cuarteto,19
cuatro venezolano,26
cuban alternative,28
cuban rumba,53
cubaton,62
cumbia,19
cumbia andina mexicana,19
cumbia chilena,62
cumbia colombiana regia,19
cumbia ecuatoriana,125
cumbia funk,135
cumbia lagunera,19
cumbia paraguaya,62
cumbia peruana,133
cumbia pop,19
cumbia ranchera,100
cumbia salvadorena,19
cumbia santafesina,43
cumbia sonidera,19
cumbia villera,62
cyberpunk,32
cymraeg,108
cypriot pop,84
czech classical,7
czech classical piano,7
czech contemporary classical,131
d-beat,3
dabke,74
dakke dak,23
dallas indie,81
dance pop,93
dance rock,39
dance-punk,59
dancehall,33
dangdut,32
danish alternative rock,92
danish classical,7
danish electronic,9
danish electropop,80
danish hip hop,64
danish jazz,27
danish metal,3
danish pop,43
danish pop rock,21
danish post-punk,130
danish punk,0
danish rock,144
danish singer-songwriter,130
dansband,48
danseband,52
dansktop,119
danspunk,19
dark cabaret,59
dark clubbing,56
dark disco,85
dark hardcore,54
dark jazz,141
dark minimal techno,25
dark post-punk,77
dark techno,25
dark trap,38
dark wave,31
darksynth,45
dayton indie,59
dc hardcore,3
dc indie,10
death 'n' roll,73
death metal,73
deathcore,3
deathgrass,39
deathgrind,73
deathrash,109
deathrock,77
deathstep,90
deep acoustic pop,70
deep adult standards,133
deep big room,23
deep ccm,49
